2025-06-16 22:17:50,212 INFO    MainThread:84858 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_setup.py:_flush():81] Configure stats pid to 84858
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_setup.py:_flush():81] Loading settings from /Users/user/.config/wandb/settings
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_setup.py:_flush():81] Loading settings from /Users/user/Documents/MLOps/week-4/sagemaker/wandb/settings
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /Users/user/Documents/MLOps/week-4/sagemaker/wandb/run-20250616_221750-cs641t70/logs/debug.log
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /Users/user/Documents/MLOps/week-4/sagemaker/wandb/run-20250616_221750-cs641t70/logs/debug-internal.log
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_init.py:init():831] calling init triggers
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_init.py:init():836] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-06-16 22:17:50,213 INFO    MainThread:84858 [wandb_init.py:init():872] starting backend
2025-06-16 22:17:50,435 INFO    MainThread:84858 [wandb_init.py:init():875] sending inform_init request
2025-06-16 22:17:50,457 INFO    MainThread:84858 [wandb_init.py:init():883] backend started and connected
2025-06-16 22:17:50,458 INFO    MainThread:84858 [wandb_init.py:init():956] updated telemetry
2025-06-16 22:17:50,478 INFO    MainThread:84858 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-06-16 22:17:51,014 INFO    MainThread:84858 [wandb_init.py:init():1032] starting run threads in backend
2025-06-16 22:17:51,079 INFO    MainThread:84858 [wandb_run.py:_console_start():2453] atexit reg
2025-06-16 22:17:51,079 INFO    MainThread:84858 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-06-16 22:17:51,079 INFO    MainThread:84858 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-16 22:17:51,079 INFO    MainThread:84858 [wandb_run.py:_redirect():2393] Redirects installed.
2025-06-16 22:17:51,080 INFO    MainThread:84858 [wandb_init.py:init():1078] run started, returning control to user process
